Plant species/Insect morphospecies,Baccha elongata,Bombyliidae sp.1,Cheilosia sp.,Dasysyrphus sp.,Eupeodes sp.,Melangyna sp.,Neoascia sp.,Parasyrphus sp.,Platycheirus sp.,Scaeva selenitica,Andrena sp.1,Andrena sp.2,Andrena sp.3,Andrena sp.4,Anthophora sp.2,Apis mellifera,Bombus lapidarius,Bombus pascuorum,Bombus pratorum,Colletes sp.1,Colletes sp.2,Halictus sp.1,Halictus sp.2,Halictus sp.3,Sphecodes sp.1,Pieris napi,Pyralidae sp.1
ACEPLA,,0.000664968554877,9.01652277799067E-05,,,4.50826138899533E-05,,1.12706534724883E-05,4.50826138899533E-05,,0.000112706534725,5.63532673624417E-05,1.12706534724883E-05,,,0.002028717625048,,,0.000112706534725,0.000112706534725,,,,,,,
CHRALT,,,9.02309913378248E-05,,,,2.00513314084055E-05,,,,,,,,,6.51668270773179E-05,,,,5.01283285210138E-06,,,,,5.51411613731152E-05,,2.50641642605069E-05
DENENN,4.87614589428516E-05,2.43807294714258E-05,,0.000633898966257,0.0001706651063,,,,7.31421884142774E-05,0.000219426565243,,4.87614589428516E-05,,0.000438853130486,,0.0010239906378,0.0003413302126,0.000609518236786,0.001292178661986,0.0001706651063,2.43807294714258E-05,0.000902086990443,0.001414082309343,,,,
GAGLUT,,0.000301023479831,,0.000150511739916,,,,,,,,,,,,,,,,,,0.000150511739916,0.00105358217941,,,,
LATSQU,,8.47529451648445E-05,,5.65019634432297E-05,,,,,8.47529451648445E-05,,,,,,,,0.000847529451648,0.001596180467271,0.011145012289177,,,5.65019634432297E-05,,,,,
LATVER,,0.000152785053257,,,,,,,2.18264361795006E-05,,,,,6.54793085385018E-05,8.73057447180024E-05,,,0.008643268727082,0.000218264361795,4.36528723590012E-05,4.36528723590012E-05,8.73057447180024E-05,2.18264361795006E-05,,,2.18264361795006E-05,
MERPER,,,,3.47509E-05,,,,,3.473482E-05,,,,,,,1.73754E-05,,,,,,3.473482E-05,,,,,
OXAACE,,0.001058514692184,0.000931492929122,0.000296384113812,,,,,8.46811753747142E-05,,0.000169362350749,,,,,,,,,4.23405876873571E-05,,0.000338724701499,0.000719789990685,0.000338724701499,,,
PRIELA,,0.000175503255585,,,,,,,1.75503255585391E-05,,,,,,,,,0.000210603906702,,,,3.51006511170782E-05,1.75503255585391E-05,,,,
VIOBAV,,0.00094790636,,,,,,,,4.121332E-05,,,,,,,,0.00086547972,4.121332E-05,8.242664E-05,,4.121332E-05,,,,,
VIOCOL,,,,,,,,,,,,,,,,,,0.000620264941739,,,,,,,,,
