Plant species/Insect morphospecies,Anthaxia quadripunctata,Baccha elongata,Bombyliidae sp.1,Cheilosia sp.,Dasysyrphus sp.,Eupeodes sp.,Melangyna sp.,Meliscaeva cinctella,Neoascia sp.,Parasyrphus sp.,Platycheirus sp.,Sphegina sp.,Andrena sp.1,Anthophora plumipes,Anthophora sp.1,Bombus hortorum,Bombus hypnorum,Bombus lapidarius,Bombus lucorum,Bombus pascuorum,Bombus pratorum,Bombus terrestris,Colletes sp.1,Halictus sp.1,Halictus sp.2,Halictus sp.3,Halictus sp.4,Melitta sp.1,Nomada sp.1,Anthocharis cardamines,Inachis io,Pieris napi,Pieris rapae
ANENEM,0.000538502961766,,0.001795009872554,0.001256506910788,0.000179500987255,,,,0.000359001974511,,0.000897504936277,,0.000359001974511,,,,,,,0.000179500987255,,,,0.000179500987255,0.001077005923533,,,0.000179500987255,,,,,
CALPAL,0.000706860706861,,0.00029106029106,0.003076923076923,,,0.00049896049896,,0.00012474012474,,0.001288981288981,,,,,,0.00045738045738,,4.15800415800416E-05,0.0002079002079,0.00012474012474,,,0.00012474012474,8.31600831600832E-05,,,,,,,,
CORCMA,,,0.000152068126521,9.50425790754258E-05,,,,,,,,,,5.70255474452555E-05,,0.000342153284672,,0.000114051094891,0.000380170316302,0.000247110705596,,,,,,1.90085158150852E-05,,,,,,,
CORCWH,,,4.09953675234698E-05,0.000102488418809,,,,,,,,,,4.09953675234698E-05,6.14930512852048E-05,0.000430451358996,,0.000163981470094,,2.04976837617349E-05,,,6.14930512852048E-05,,,,,,,,8.19907350469397E-05,,
DENENN,,,0.000252461499621,0.000126230749811,,,,,,,0.000210384583018,,,,,,0.000168307666414,,,0.000462846082639,,,,,,,,,8.41538332071026E-05,,,,0.000168307666414
FICVER,0.000956632653061,0.00015943877551,0.004145408163265,0.004942602040816,0.00031887755102,,,0.00015943877551,0.00015943877551,0.000478316326531,0.002232142857143,0.00031887755102,0.00015943877551,,,,0.000478316326531,,,0.000956632653061,,,,0.002551020408163,0.006058673469388,,0.00015943877551,,0.00015943877551,,0.00015943877551,,
LATSQU,,,7.75000215277838E-05,5.16666810185225E-05,,,,,,,,,,,,0.000818055782793,0.001093611414892,,,0.000645833512732,0.000404722334645,0.001661944906096,,,,,,,4.30555675154354E-05,,,5.16666810185225E-05,
LATVER,,,,,,,,,,,,,,,,,0.000301295570955,,,0.005523752134177,0.000301295570955,,,,,,,,,,,,
OXAACE,,,8.37766514472417E-05,,,,,,4.18883257236208E-05,,4.18883257236208E-05,,,,,,,,,,,,,,,,,,,,,,
PETALB,,,,0.000158161113454,,1.7573457050471E-05,,,,,7.02938282018839E-05,,0.000105440742303,,,,0.000140587656404,,,5.27203711514129E-05,,,1.7573457050471E-05,0.000246028398707,5.27203711514129E-05,,,,,,,,
PRIELA,,,0.000366626948747,8.33243065334589E-06,,,,,,,,,,8.33243065334589E-06,,,2.49972919600377E-05,,8.33243065334589E-06,1.66648613066918E-05,3.33297226133835E-05,,,,2.49972919600377E-05,,,,,,,,
PULOBS,,6.27529729220922E-05,0.003200401619027,9.41294593831383E-05,3.13764864610461E-05,,,,,,0.000658906215682,,,9.41294593831383E-05,,,0.000847165134448,,,0.004894731887923,,,,,,,,,,6.27529729220922E-05,,,
Grand Total,0.002201996321688,0.000222191748432,0.010405308561294,0.009912083460731,0.000529755024737,1.7573457050471E-05,0.00049896049896,0.00015943877551,0.000685069200485,0.000478316326531,0.005400102035027,0.00031887755102,0.000623881492324,0.000200482805005,6.14930512852048E-05,0.001590660426461,0.003511661518985,0.000278032564984,0.000430082788535,0.013208191087504,0.000864087752954,0.001661944906096,7.90665083356757E-05,0.003101289918865,0.007296557139192,1.90085158150852E-05,0.00015943877551,0.000179500987255,0.000286648176233,6.27529729220922E-05,0.000241429510557,5.16666810185225E-05,0.000168307666414
