Plant species/Insect morphospecies,Anthaxia quadripunctata,Bombyliidae sp.1,Cheilosia sp.,Dasysyrphus sp.,Melangyna sp.,Platycheirus sp.,Andrena sp.1,Bombus hortorum,Bombus hypnorum,Bombus lapidarius,Bombus lucorum,Bombus pascuorum,Bombus pratorum,Bombus terrestris,Halictus sp.1,Halictus sp.2,Nomada sp.1,Anthocharis cardamines,Autographa gamma,Pieris napi,pterophoridae sp. 1,tortricidae sp. 1
ADOMOS,,,2.52009777979386E-05,,,,,,,,,,,,,,,,,,,
ANENEM,,0.000112994350282,0.000112994350282,,,,,,,,,,,,,,,,,,,
ANERAN,0.000243828101189,0.000182871075891,0.000243828101189,,,0.00085339835416,0.000304785126486,,,,6.09570252971655E-05,,,,6.09570252971655E-05,,,,,,,
CALPAL,,4.03469840629413E-05,0.001452491426266,0.000161387936252,0.000121040952189,0.000927980633448,,,,,,,,,0.000121040952189,,,,,,,
CHRALT,,,1.48190739264322E-05,,,5.92762957057288E-06,,,,,,,,,,,,,,,,
CORCMA,,2.9494392378649E-05,1.47471961893245E-05,,,,,0.000420295091396,,0.000508778268532,0.000162219158083,2.9494392378649E-05,,,,,,,7.37359809466225E-05,,3.68679904733113E-05,
CORCWH,,,,,,,1.92631832410306E-05,0.000616421863713,,4.81579581025764E-05,,,,,,,,,9.63159162051529E-06,,,
DENENN,,,,,,0.000156369942854,2.84308987007079E-05,0.000156369942854,4.26463480510619E-05,1.4215449350354E-05,4.26463480510619E-05,0.000739203366218,,7.10772467517698E-05,1.4215449350354E-05,,,,2.84308987007079E-05,4.26463480510619E-05,,
FICVER,,,,,,0.000157927984839,,,,,7.89639924194567E-05,,,,,,,,,,,
GAGLUT,,0.000141904356464,,,,,0.000473014521546,,4.73014521545811E-05,,,,,,,0.000189205808618,9.46029043091623E-05,,,,,
LATSQU,,,,,,,,,,,,0.000613167778033,0.002069441250862,,,,,,,,,
LUNRED,,0.000669502205419,6.89193446754883E-05,,,0.000157529930687,,,,6.89193446754883E-05,,1.96912413358538E-05,,,,,,0.000167375551355,0.000137838689351,0.000718730308759,,
MERPER,,,,,,,,,,,,,,,,,,,,,,4.39280458608799E-05
OXAACE,,,2.902E-05,,,4.83699E-05,0.000241849,,,,,,,,9.67398E-05,,,,,,,
PRIELA,,,,8.53898044573478E-05,,2.43970869878137E-05,,,,,,9.75883479512546E-05,,,,,,,,,,
PULOBS,,7.74278469251466E-05,,,,,,,,,,0.010472116296626,,,,,,,,,,
SILDIO,,4.40943030160503E-05,,,,0.00019107531307,7.34905050267505E-05,0.000249867717091,,0.000117584808043,,0.00104356517138,,,,,,,4.40943030160503E-05,,,
VIOREI,,,,,,,,,,,,0.000132796246293,,,,,,,,,,
