,Achaea sp.1,Achaea sp.2,Achaea sp.3,Allobaccha sp.1,Amauris damocles,Amauris echeria,Amphipyrinae sp.1,Anoba sp.1,Anomis sp.1,Anthomyia sp.2-striped,Apallaga intermixtus,Apis mellifera,Asarkina africana - ericetorum,Asthenotricha sp.1,Asthenotricha sp.3,Bicyclus anisops,Big headed acalyptratae with striped abdomen,Black apoidea,Black-white fly,Brown amegilla,Cacyreus cf. lingeus,Calpinae sp.1,Calpinae sp.2,Cinnyris reichenowi,Cleora sp.1,Crambidae sp.2,Crambidae sp.3,Crambidae sp.4,Crambidae sp.5,Crambidae sp.6,Cramon fly sp.1,Cramon fly sp.2,Cyanomitra oritis,Darkish hoverfly,Derambila sp.1,Dysgonia sp.1,Ennominae sp.1,Ennominae sp.2,Ennominae sp.3,Episyrphus sp.1,Erastria sp.1,Erebidae sp.10,Erebidae sp.11,Erebidae sp.12,Erebidae sp.13,Erebidae sp.2,Erebidae sp.3,Erebidae sp.4,Erebidae sp.5,Erebidae sp.7,Erebidae sp.8,Eupithecia sp.1,Eupithecia sp.2,Eupithecia sp.3,Galtara sp.1,Geometridae sp.1,Geometridae sp.2,Geometridae sp.5,Geometrinae sp.1,Geometrinae sp.2,Geometrinae sp.3,Geometrinae sp.4,Geometrinae sp.5,Geometrinae sp.6,Graptomyza sp.1,Graptomyza sp.3 (small),Graptomyza sp.5,Herminiinae sp.2,Herminiinae sp.3,Herminiinae sp.4,Herminiinae sp.5,Herminiinae sp.6,Herminiinae sp.7,Herminiinae sp.8,Hippotion sp.1,Hippotion sp.2,Hypena sp.1,Hypeninae sp.7,Hypeninae sp.8,Larentiinae sp.1,Lithosiini sp.1,Macroglossinae sp.1,Macroglossinae sp.2,Macroglossum trochilus,Megaloglossus woermanni,Melanostoma sp.1,Melanostoma sp.2,Melanostoma sp.3,Mylothris cf. hilara,Mylothris jacksoni,Nephele sp.1,Noctuidae sp.1,Noctuidae sp.2,Noctuidae sp.3,Noctuidae sp.7,Odontiinae sp.1,"Orangish fly, long ant.",Papilio zoroastres,Plusiinae sp.1,Prasinocyma sp.1,Precis milonia,Psilocera sp.1,Pterophoridae sp.1,Pterophoridae sp.2,Pterophoridae sp.4,Pterophoridae sp.5,Pyraloidea sp.1,Pyraloidea sp.2,Pyraloidea sp.3,Pyraloidea sp.5,Pyraloidea sp.6,Pyraloidea sp.7,Robust fly with yellow abdomenal band,Scopula sp.1,Scopula sp.2,Scopula sp.3,Scopula sp.4,Semalea sp.1,Small fly with white abdomenal stripe,Small metallic acalyptratae,Small orange acalyptratae,Spilomelinae sp.1,Spilomelinae sp.4,Spilomelinae sp.6,Sterrhinae sp.1,Sterrhinae sp.2,Syllepte sp.1,Syrphidae sp.7,Tephritoidea sp.10,Theretra sp.1,Theretra sp.2,Thin abdomen fly,Tolna sp.2,Unidentified micro-moth sp.1,Unidentified micro-moth sp.2,Unidentified micro-moth sp.3,Unidentified micro-moth sp.4,Unidentified micro-moth sp.6,Vanessula milca,Xanthorhoe sp.1,Xanthorhoe sp.2,Xanthorhoe sp.3,Xanthorhoe sp.4,Xanthorhoe sp.5,Xylocopa sp.1,Yellow abdomen fly,Yellow-black graptomyza
ADEMAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00271924,,0.00203943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRSPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRSPW,,,,,,,,,,,,,,,,0.000135851,,,,,,,,,,,,,,,,,0.000271702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGMAN,,,,,,,,,,,,,,,,,,0.002525253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000505051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIOWA,,,,,,,,,,,,0.0001221,,,,,,,,0.000458084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11E-05,,,,,,,,,,,9.16E-05,,,6.11E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05E-05,,,,,,,,,,,,,,,0.001863005,,
BRISPE,,,,,,,1.29E-05,,,,,7.75E-05,,,,,3.88E-05,,,,,,,,,,,,,,3.88E-05,,,,,,,,,,,,,,,,,,,,,,,,,5.17E-05,,,,6.46E-05,,,,,,,,6.46E-05,1.29E-05,,,,,,,,1.29E-05,,,1.29E-05,,,,,,,,,,,,,,,,,,,,,,,2.58E-05,,,,,7.75E-05,,1.29E-05,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001938,1.29E-05,,,,,,,,,2.58E-05,
CLESIM,,,,,,,,,,,,4.59E-05,,,,,,,,,,,,,,2.29E-05,2.29E-05,,9.17E-05,2.29E-05,,,,,,,,0.0004587,,,,,,,,,,,,2.29E-05,4.59E-05,,,,,,0.0001376,,,,,,,,,,2.29E-05,,,,,,,,,,,2.29E-05,,,,,,,,,,,,,,,,,,,,,,4.59E-05,0.0001835,,,2.29E-05,2.29E-05,,,,,,2.29E-05,,,2.29E-05,,,,,,,,,,,,,,,,,,,,4.58E-05,,0.0005272,,,,,,6.88E-05,6.88E-05,,,,
COSDUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000672948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006123,0.0003297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
