,Aburina sp.1,Allobaccha sp.1,Andronymus magma,Andronymus sp.1,Anomis sp.2,Apallaga alluaudi,Apallaga meditrina,Apallaga mona,Apis mellifera,Bebearia tentyris,Bicyclus sciathis,Big black scoliid,Black apoidea,Black apoidea with orange band,Black fancy nematocera,Black spotted apoidea,Blue amegilla,Brown amegilla,Brown-striped fly,Brown-white acalyptratae,Callopistria sp.1,Calpinae sp.3,Calpinae sp.4,Centroctena rutherfordi,Ceratrichia clara,Crambidae sp.1,Crambidae sp.10,Crambidae sp.11,Crambidae sp.3,Crambidae sp.7,Crambidae sp.9,Cyanomitra olivacea,Cymothoe consanguis,Cymothoe herminia,Cymothoe indamora,Cymothoe sangaris,Desmobathrinae sp.1,Ennominae sp.4,Ercheia subsignata,Erebidae sp.15,Erebidae sp.16,Erebidae sp.17,Erebidae sp.18,Erebidae sp.19,Erebidae sp.20,Erebidae sp.21,Erebinae sp.3,Erebinae sp.5,Euphaedra hewitsoni,Euphaedra losinga,Euphaedra sp.1,Euphaedra temerraria,Eupithecia sp.2,Geometrinae sp.7,Geometrinae sp.8,Geometrinae sp.9,Graphium policenes,Halictidae with orange band,Heliophisma sp.1,Herminiinae sp.10,Herminiinae sp.11,Herminiinae sp.12,Herminiinae sp.13,Herminiinae sp.14,Herminiinae sp.15,Herminiinae sp.16,Herminiinae sp.2,Herminiinae sp.9,Hymenia sp.1,Hypeninae sp.3,Hypeninae sp.4,Hypeninae sp.6,Hypeninae sp.9,Larentiinae sp.2,Larentiinae sp.3,Leptosia alcesta,Leptosia nupta,Macroglossinae sp.4,Melanostoma sp.1,Mocis sp.1,Nephele sp.2,Nepheronia argia,Noctuidae sp.10,Noctuidae sp.11,Noctuidae sp.12,Noctuidae sp.13,Noctuidae sp.14,Noctuidae sp.15,Noctuidae sp.8,Noctuidae sp.9,Ogovia sp.1,Orange abdomen apoidea,Orange thorax amegilla,Osmodes lux,Papilio cyproeofila,Papilio dardanus,Papilio hesperus,Papilio menestheus,Papilio zenobia,Paronymus xanthias,Plecoptera sp.2,Precis milonia,Pterophoridae sp.6,Pyraloidea sp.10,Pyraloidea sp.11,Pyraloidea sp.12,Pyraloidea sp.2,Pyraloidea sp.4,Pyraloidea sp.5,Pyraloidea sp.9,Robust yellow winged fly,Sarothroceras sp.1,Scopula sp.3,Scopula sp.5,Sessidae sp.1,Small orange acalyptratae,Spilomelinae sp.10,Spilomelinae sp.11,Spilomelinae sp.4,Syllepte sp.1,Syrphidae sp.4,Syrphidae sp.5,Tachinidae sp.2,Tagiades flesus,Temnora sp.1,Tephritoidea sp.9,Thermoniphas alberici,Thrinchostoma sp.1,Tolna sp.3,Unidentified micro-moth sp.1,Unidentified micro-moth sp.3,Unidentified micro-moth sp.4,Unidentified micro-moth sp.6,Xanthopan morganii,Xylocopa sp.2,Yellow belly megachilid,Zizula hylax
ACASTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00517464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRSPP,,,,,,0.000349569,0.000699138,0.005360058,,,,,,,,,,0.002213937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000116523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000116523,,,,,,,,,
BEGAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033707856,,,,,,,,,
BEGFUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000730035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGLET,,,,,,,,,,,,,,,,,0.00017685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGMAN,,,,,,,,,,,,,,,,,,0.000163226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000326426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001251457,,,,,,,,,
BEGSCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000137684,,,,,,,,
BELSP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004249293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERLAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004810995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALACU,,,,,,,,,,,,,0.000672948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001345896,,,,0.000672948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
