,Acraea epaea,Acraea tellus,Allobaccha sp.1,Andronymus magma,Apallaga meditrina,Apallaga mona,Apis mellifera,Bee-like hoverfly sp.2,Big black and white apoidea,Big black scoliid,Black amegilla,Black fancy nematocera,Black spotted apoidea,Blue amegilla,Brown amegilla,Coeliades chalybe,Coeliades forestan,Coeliades hanno,Crambidae sp.1,Crambidae sp.17,Derambila sp.1,Erebidae sp.32,Erebidae sp.33,Gorgyra sp.1,Graptomyza sp.5,Herminiinae sp.10,Herminiinae sp.21,Hymenia sp.1,Hypolimnas salmacis,Hypolycaena sp.1,Leona lissa,Macroglossinae sp.5,Macroglossinae sp.6,Macroglossinae sp.7,Nephele accentifera,Nephele sp.3,Nephele sp.4,Neurypexina lamprocles,Noctuidae sp.24,Noctuidae sp.8,Orange abdomen apoidea,Orange thorax amegilla,Papilio menestheus,Pterophoridae sp.7,Rhingia brown,Robust brown acalyptratae,Sessidae sp.3,Small orange acalyptratae with white abdomen,Small striped acalyptratae,Striped apoidea,Tephritoidea sp.19,Tephritoidea sp.8,Thrinchostoma sp.1
AFRSPP,,,,,0.000902528,0.00169224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000789712
ANESP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001934236,,,,,,,,,,,,
BEGAMP,,,,,,,,,,,,,,0.000191095,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002484235,,,,,,,,,,,,0.00038219
BEGMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000795291,,,,,,,,,,,,
BEGSCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031736,,,,,,,,,,,,
BEGWHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002776068,,,,,,,,,,,,
BERRAC,,,,,,,,,,,,,,0.017795826,,,,,,,,,,,7.54E-05,,,,,,,,,,,,,,,,0.0002639,,,,,,,,,,,,
CHASCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011840772,,,0.000895009,,,0.003097873,,,,,,
CHLCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004897389,,,,,,,,,,,,
CLESIL,9.75E-06,,,,9.75E-06,0.000117,,,,,,,,,,,,,,,,,,,,,,,,,9.75E-06,,,,0.000214514,0.000263308,0.000107257,,,,0.00017555,,,,4.88E-05,,,,,,,,
COSDIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001428571
COSENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002945508,,,,,,,,,,,,
DISSP1,,,,,0.000639387,,0.000213129,,,,,,,0.000213129,,,,,,,,,,,,,,,,,,0.000213129,,,,,,,,,,,,,,,,,,,,0.000426257,0.002344418
