"NOconnections","connectance","nestedness","NODF","SA","H2","number.of.species.HL","number.of.species.LL","generality.HL","vulnerability.LL","gr","null"
149,0.0703826169107227,4.94768458924534,15.8277402538522,-0.0764923316586606,0.668227518977564,73,29,5.82957284345263,2.84551567025203,1,0
172,0.0566534914361001,4.10798999273928,13.8143545228904,-0.0641935584293031,0.761652360181514,69,44,4.91664604609173,2.2104115436332,2,0
130,0.086436170212766,12.0540106417297,15.1860071866413,0.0516517949031895,0.758431691209936,47,32,3.16948533106055,2.35423184749219,3,0
99,0.0808163265306122,6.5588890958147,13.7803264937411,0.0747109200837256,0.751220131523828,49,25,2.42631014366223,2.60977124939053,4,0
79,0.0790790790790791,7.83047448915597,14.8738118649623,-0.521604005765681,0.776201463929353,37,27,3.90701839029968,1.91239802619545,1,1
147,0.0739064856711916,5.72593780815526,16.945321130589,0.0653173789685316,0.789091148567517,51,39,3.53884700491568,2.04496598160702,2,1
113,0.0792426367461431,8.33486567135253,15.2147619047619,-0.0128136477170331,0.733148933802726,46,31,3.60490672203125,2.32591224297387,3,1
103,0.0919642857142857,8.42915801860068,19.9173077929555,-0.349619006402394,0.746474544929312,40,28,3.71865670911833,2.18115563089051,4,1
104,0.0819542947202522,11.4826587622315,14.4773377227986,-0.310881293052375,0.763539217898188,47,27,3.43145295562108,2.10328618651032,1,2
118,0.0851370851370851,6.59503953823611,19.2119070034837,0.198020065838429,0.723981355349238,42,33,4.34857830191283,2.34597766326375,2,2
118,0.0715151515151515,6.28350169473237,15.2951649985307,-0.0617981004478504,0.772918379411616,50,33,3.33616595036874,2.048063722244,3,2
85,0.0977011494252874,7.39961527892554,21.2595678202099,0.0304412388925675,0.749980558776027,29,30,3.65464388453448,2.09372015916817,4,2
100,0.105042016806723,12.4340601318077,20.6849992393123,0.244347448903339,0.760963484266532,34,28,3.59295124323239,1.99604933704541,1,3
134,0.0689300411522634,7.33889744792772,12.7727717320148,0.0650873512123149,0.816250448648295,54,36,2.96456371729068,2.01789812812699,2,3
142,0.0685328185328185,5.20141270403785,16.3397444199801,0.140450105651645,0.718330180047267,56,37,4.78405984624522,2.43891176601766,3,3
66,0.0882352941176471,7.28221680929742,18.2828282828283,-0.088965503467829,0.68404637561421,34,22,3.26120882679057,2.54163535549898,4,3
63,0.0865384615384615,10.957105212503,15.3413940256046,-0.258941234061321,0.801257524142903,28,26,3.33986908137454,1.9019297752014,1,4
126,0.0753588516746412,5.78106897308348,18.0446061586146,0.207389515688114,0.760559020600915,44,38,3.81667068390983,2.20701966891049,2,4
147,0.0707070707070707,6.20902113946711,13.9497889588579,0.0501115959405212,0.722162616052332,63,33,4.21919346957726,2.5735263735998,3,4
90,0.0952380952380952,6.5138009019497,21.476391825229,0.0322879983303807,0.801202146017589,35,27,3.8123926188639,1.78088921082691,4,4
85,0.0885416666666667,8.68015010291595,13.9820075757576,0.153783376006946,0.780373327062916,40,24,2.88580587984113,2.0646637349522,1,5
136,0.0731182795698925,7.46481540956515,14.0286812367349,-0.0114932863417703,0.781808366586079,60,31,2.94037716022513,2.40657053460342,2,5
136,0.0735930735930736,5.60094487425225,17.9473597791251,-0.240645862328773,0.759890552177319,44,42,5.33291000383613,2.02292611609115,3,5
75,0.0961538461538462,8.0490704776585,19.3895154553049,-0.161122232204952,0.671241122507173,30,26,3.7217064317102,2.29251161130952,4,5
103,0.0782674772036474,8.46666448602248,15.1392560679744,-0.216091022751891,0.772081149501624,47,28,2.82294360437689,2.27898595637429,1,6
128,0.089198606271777,6.8245256884525,20.2278310617533,0.121962068755659,0.695749802128895,41,35,5.15968751361273,2.41655655869272,2,6
108,0.0829493087557604,9.26683756803302,16.6722275545805,0.120242256849896,0.721686483983471,42,31,3.97144854805518,2.29658475372073,3,6
93,0.0831842576028623,6.02473652128238,16.8113075849232,-0.335723338619324,0.764004583746692,43,26,3.86721444401772,2.11997538012245,4,6
86,0.0958751393534002,7.14901168475454,19.9778976891653,0.086351248636439,0.828566882041715,39,23,2.65139836336884,1.75509391218509,1,7
123,0.0730837789661319,6.79105233095252,15.0500793346051,0.148015654771883,0.702520308187447,51,33,4.20014771763125,2.53921495724659,2,7
148,0.0736684917869587,5.24724626080647,17.4436173935172,-0.111969812641397,0.738275421956541,49,41,4.15159711408989,2.30289675720825,3,7
75,0.0967741935483871,10.827477799232,17.5954974582426,-0.405421856387432,0.72412219536065,31,25,3.80323575091487,2.22226841174772,4,7
85,0.0787037037037037,6.24980677026249,16.7235737658273,-0.667117639731606,0.766844392801216,36,30,5.3258390436343,1.82165069158968,1,8
139,0.0762061403508772,6.03095192712251,16.4719855967808,0.1051587666855,0.713369954607996,48,38,4.5674801442451,2.41780838355096,2,8
132,0.0774193548387097,7.16552323066081,14.628972736665,0.19005950963624,0.724747365254056,55,31,3.43321311084271,2.64437064586419,3,8
87,0.0823863636363636,8.44850328949525,14.1195152365365,0.0151413977813263,0.831319070469144,44,24,2.09646715699119,1.91175558066105,4,8
105,0.0815217391304348,7.43106470831303,16.2736121706398,-0.288217078261872,0.780776273039158,46,28,3.25617881092262,2.09159066761125,1,9
129,0.0790441176470588,8.78026038575382,14.2341561130381,0.145854693650446,0.703896582611242,51,32,3.73967356790821,2.56846914479038,2,9
111,0.0814380044020543,7.49547846936878,16.4189109851517,-0.299701791572259,0.714138917872454,47,29,3.99971816387366,2.3823374307579,3,9
79,0.0877777777777778,8.04892062924415,18.7298850574713,-0.631088760543898,0.791745818299892,30,30,4.23513618774071,1.80298672483195,4,9
68,0.0944444444444444,9.04442846888651,15.9657759024848,0.0848359544745721,0.791403658784188,30,24,3.02398584912719,1.8932437250692,1,10
