"NOconnections","connectance","nestedness","NODF","SA","H2","number.of.species.HL","number.of.species.LL","generality.HL","vulnerability.LL","gr","null"
92,0.30976430976431,20.2678017528334,53.3412947206051,0.0176093997979746,0.559365641634955,27,11,2.73354330651033,4.26162798783754,1,0
159,0.321212121212121,22.3347198547967,54.835394897131,0.495159285740938,0.435193081729313,33,15,3.95017046391144,6.26601864834696,2,0
142,0.358585858585859,19.4776602109769,60.0891057726995,0.678361232835821,0.401961297683171,22,18,4.3713687064472,5.68700576881081,3,0
19,0.422222222222222,30.2502676842088,45.2898550724638,0.00836016328365108,0.253165095580915,9,5,2.23527336057987,3.73475317243769,4,0
73,0.331818181818182,21.4743143568632,55.640589569161,0.485252711044474,0.488781427065459,20,11,2.76861632542834,4.39344701690945,1,1
106,0.33974358974359,17.1710754062702,60.4988503965486,0.811975573423832,0.419362682439771,26,12,3.18894049424808,6.30462827454031,2,1
132,0.323529411764706,14.3932657601937,63.8503709074097,0.735030325469207,0.442523793938669,24,17,3.76750282663825,5.58307326823367,3,1
53,0.392592592592593,17.6558935949436,63.0775075987842,-0.252550946670763,0.552394435486055,15,9,2.67377904069094,3.15624131038739,4,1
73,0.347619047619048,12.9566014818786,66.3649983803045,0.212005427716204,0.284723221490747,15,14,4.12630990242808,4.89015483360255,1,2
120,0.333333333333333,21.810051025836,55.9126263063271,0.604434017644112,0.419583340252609,24,15,3.62540220893568,5.79861707306816,2,2
120,0.344827586206897,25.3368324608775,57.717793623514,0.282694812509038,0.520593829183235,29,12,3.03979986080472,5.49163859184042,3,2
50,0.446428571428571,11.6799101722174,74.7892490329465,-0.0504360833832239,0.613253441621238,14,8,2.10867316512645,2.95431700764657,4,2
74,0.411111111111111,17.1324738634781,65.263949013949,0.431356477877493,0.403082896957154,18,10,3.29851822873837,6.04823245705065,1,3
114,0.327586206896552,34.9358161030794,50.2289389047864,0.228845846314255,0.46704934196693,29,12,3.23953808345626,5.67745840453917,2,3
132,0.338461538461538,15.5974387619757,62.0447064335573,0.636682829503837,0.43613929884747,26,15,3.78872816624242,5.97625283070662,3,3
56,0.333333333333333,20.9892860637675,61.2905671822869,0.509859323428238,0.518620191488166,14,12,2.72692305795916,3.39992040704331,4,3
43,0.438775510204082,25.6763693307404,60.7004676870748,0.53535072998193,0.553135990712744,14,7,1.9414460101923,4.15772678111493,1,4
120,0.369230769230769,15.9404108192108,65.2004638512575,0.616218349708522,0.384162845302415,25,13,3.54665984710778,6.71454783049607,2,4
140,0.311111111111111,22.2651394047401,52.1673347501162,0.170230384279415,0.446149953410292,25,18,4.1369429105262,4.80205170284377,3,4
67,0.394117647058824,16.4521775948811,71.0207840042094,-0.515952776981362,0.495040969468535,17,10,3.11460492566905,4.04139802729659,4,4
69,0.425925925925926,22.3024961641633,59.5863395863396,0.149518100858729,0.463150738752408,18,9,2.71581470438668,4.99580333724119,1,5
116,0.329545454545455,14.1898274124723,65.1164473386696,0.814241625267844,0.445735430897116,22,16,3.50372735685072,5.30880389210032,2,5
136,0.314814814814815,17.2258152586209,59.1770219636462,0.773800305226496,0.413681667869286,27,16,4.03118409073692,5.94092400800914,3,5
47,0.3671875,25.1364895669114,52.7380952380952,0.0722853787948209,0.584799435827521,16,8,2.21246422685717,3.21690724692598,4,5
58,0.42962962962963,13.4086975624104,75.5941123494315,0.911773547392897,0.374761442077483,15,9,3.2057120030729,5.33486067874079,1,6
119,0.326923076923077,22.378194569504,57.3858889648363,0.767510043453663,0.403356458460019,28,13,3.5659097930114,5.85518276701288,2,6
139,0.340686274509804,17.7838268975145,61.0066982639798,0.678261136686185,0.446505846919836,24,17,3.91668303374457,5.45922086465177,3,6
55,0.305555555555556,24.4567565473076,47.7693602693603,0.317001223700072,0.690378424229619,18,10,1.88634548386047,3.0318920920237,4,6
90,0.321428571428571,13.2810124780618,64.2714383283778,0.942903566374463,0.429017635101941,20,14,3.70240114074665,5.17506293996128,1,7
142,0.316964285714286,22.0623402267225,53.3529355517307,0.498932572660073,0.451528812302013,28,16,3.96305869652588,5.50163176132131,2,7
92,0.398268398268398,19.5189026273002,65.9571728062294,0.0506426984048209,0.53851597999058,21,11,2.69670177725486,4.74105753413442,3,7
45,0.401785714285714,25.4742737128873,65.1063829787234,0.659722106744877,0.444885871557234,16,7,2.42655328646,6.21333704986639,4,7
38,0.351851851851852,19.6829857082312,58.765172735761,0.774731173687614,0.414837629477205,12,9,2.58990486659283,4.20238132398433,1,8
